Customer_ID,Customer_Name,Customer_Segment,Birthday,Phone number,Province 
FM-14215,Tuyên Mạc Ngôn,Corporate,1/11/89,909123292,Hồ Chí Minh
RB-19435,Tiêui Văn Thường,Consumer,1/11/79,909123296,Đồng Tháp
DK-13225,Dean Company,Corporate,1/11/80,909123297,Hồ Chí Minh
CK-12325,Trần Thị Lương,HO,7/8/82,909123299,Hà Giang
JF-15295,Jason Fortune-,Consumer,1/11/79,909123300,Hà Giang
RB-19465,Tạ Thanh Thuật,HO,1/11/87,909123305,Hà Tỉnh
NF-18475,Phạm Ngọc Trầm,HO,1/11/81,909123307,Đà Nẵng
AS-10240,Lê Văn Thường,Consumer,1/11/80,909123308,Đồng Tháp
BN-11515,Bradley Nguyen,Consumer,1/11/79,909123314,Hà Tỉnh
CP-12340,Trần Tiến Phát,Corporate,1/11/86,909123319,Hồ Chí Minh
AZ-10750,Trần Quý Phi,Consumer,1/11/79,909123324,Hà Nội
QJ-19255,Lê Văn Thoại,Corporate,1/11/81,909123332,Hồ Chí Minh
SM-20320,Sean Miller,Home Office,1/11/83,909123333,Hồ Chí Minh
EK-13795,Eileen Kiefer,Home Office,1/11/89,909123340,Đồng Tháp
SC-20050,Company Chip Furture,Home Office,1/11/80,909123341,Đồng Nai
MC-17605,Matt Connell,Corporate,1/11/87,909123344,Hồ Chí Minh
CB-12025,Cassandra Company,Consumer,1/11/83,909123351,Hà Nội
TS-21205,Trần Văn Hùng,Corporate,1/11/81,909123353,Hà Nội
KH-16690,Tần Tường Vân,Corporate,1/11/81,909123354,Hà Tỉnh
GM-14440,Gary McGarr,Consumer,1/11/74,909123359,Hà Nội
CC-12685,Trịnh Cao Kim,Consumer,1/11/84,909123362,Bình Phước
BF-11275,Beth Fritzler Shop,Corporate,1/11/87,909123364,Thanh Hóa
VM-21835,Trương Thị Mây,Consumer,1/11/82,909123366,Tiền Giang
PO-18865,Patrick Nguyen,Consumer,1/11/82,909123367,Hồ Chí Minh
BG-11740,Giang Lựu,Consumer,1/11/80,909123369,Hà Nội
CD-11920,Carlos Daly,Consumer,1/11/83,909123370,Hà Tỉnh
MS-17710,Trần Công Danh,Consumer,1/11/82,909123371,Hà Giang
CA-12265,Nguyễn Thị Loan,Consumer,1/11/79,909123373,Hà Nội
JD-15895,Phạm Lê Tuấn ,Corporate,1/11/84,909123377,Đồng Tháp
DK-12835,Nguyễn Thị Thúy Hiền,Corporate,1/11/79,909123378,Đà Nẵng
CS-12505,Trần Thị Hòa,Consumer,1/11/96,909123381,Hồ Chí Minh
CV-12295,Bùi Tiến Phát,Consumer,1/11/81,909123382,Bà Rịa - Vũng Tàu
DR-12940,Tiêu Thị Tiền,Home Office,1/11/83,909123384,Hồ Chí Minh
MP-18175,Mike Pelletier,Home Office,1/11/80,909123385,Hải Phòng
MG-18145,Quang Tuấn Tú,Consumer,1/11/86,909123386,Kom Tum
KM-16720,Nguyễn Văn Tài,Consumer,1/11/80,909123387,Hà Tỉnh
Dl-13600,Lê Duy,Corporate,1/11/96,909123388,Hà Tỉnh
SG-20890,Susan Gilcrest,Corporate,1/11/83,909123390,Bình Dương
MP-17470,Phạm Ngọc Châu,Home Office,1/11/96,909123392,Hồ Chí Minh
NC-18340,Phạm Thị Hồng Trúc,Consumer,1/11/79,909123395,Hà Tỉnh
AA-10315,Trịnh Kim Trường,CUS,1/11/81,909123396,Cần Thơ
JO-15280,OCB Company,Consumer,1/11/79,909123398,Phú Thọ
DD-13570,Trọng Văn Tú,CUS,1/11/81,909123399,Hồ Chí Minh
KB-16240,Karen Bern,Corporate,1/11/83,909123401,Thái Nguyên
TG-21640,Trương Vân Thi Nhi,Consumer,1/11/87,909123402,Đà Nẵng
KH-16330,Katharine Harms,Corporate,1/11/82,909123407,Hà Tỉnh
RD-19585,Phạm Thị Duyên,Consumer,1/11/81,909123409,Hà Nội
AH-10690,Trọng Văn Ngân,Corporate,1/11/89,909123414,Đà Nẵng
KE-16420,Lê Thị Duyên,Corporate,1/11/79,909123415,Đà Nẵng
PK-18910,Paul Knutson,Home Office,1/11/84,909123418,Hà Tỉnh
MZ-17515,Tường Trăm,Corporate,1/11/74,909123421,Đà Nẵng
KB-16585,Trần Anh Tuấn,Corporate,1/11/86,909123422,Đà Nẵng
TH-21550,Trần Nhiễm Liên,Home Office,1/11/81,909123426,Hồ Chí Minh
GM-14695,Greg Maxwell,Corporate,1/11/80,909123427,Hà Tỉnh
JG-15805,Nguyễn Thái Tài,Corporate,1/11/82,909123432,Nghệ An
RD-19900,Ruben Le,Consumer,1/11/89,909123434,Hồ Chí Minh
RP-19855,Roy Phan,Corporate,1/11/89,909123438,Gia Lai
GP-14740,Guy Phonely,Corporate,1/11/96,909123439,Vĩnh Long
SC-20260,Scott Cohen,COR,1/11/80,909123443,Hà Giang
AY-10555,Tạn Văn Yến,Corporate,1/11/84,909123445,Thái Nguyên
FH-14275,Ngô Quang Đại,Corporate,1/11/87,909123449,Hà Tỉnh
PJ-19015,Pauline Johnson,Consumer,1/11/80,909123452,Vĩnh Long
RS-19765,Roland Schwarz,Corporate,1/11/81,909123453,Vĩnh Long
VM-21685,Valerie Company,Home Office,1/11/82,909123455,Bình Dương
JM-15655,Jim Mitchum,Corporate,1/11/89,909123457,Đồng Nai
RA-19885,Ruben Pham,Corporate,1/11/74,909123459,Thanh Hóa
PC-19000,Pauline Chand,Home Office,1/11/89,909123460,Hồ Chí Minh
JS-15880,John Stevenson,Consumer,1/11/87,909123463,Nghệ An
JK-15370,Lê Văn Tí,Consumer,1/11/74,909123464,Hà Tỉnh
SE-20110,Sanjit Engle,Consumer,1/11/81,909123468,Hà Tỉnh
GM-14455,Nguyễn Thị Chi,Home Office,1/11/74,909123469,Hà Giang
MM-18055,Michelle Moray,Consumer,1/11/80,909123470,Thanh Hóa
KN-16450,Kean Nguyen,Corporate,1/11/81,909123473,Cần Thơ
SV-20785,StewMáy giặt Visinsky,Consumer,1/11/86,909123477,Hồ Chí Minh
EH-13765,Edward Truong,Corporate,1/11/79,909123478,Phú Thọ
BF-11170,Trịnh Kim Chi,Home Office,1/11/79,909123483,Hà Tỉnh
PS-18970,Paul Pham,Home Office,1/11/79,909123484,Đà Nẵng
SP-20650,Dương Tân,Corporate,1/11/82,909123486,Đà Nẵng
JL-15835,Lê Thị Thanh,Consumer,1/11/96,909123487,Hà Tỉnh
NF-18595,Trần Ngọc Mạch,Home Office,1/11/96,909123495,Hà Giang
AG-10390,Lê Văn Khải,Consumer,1/11/79,909123496,Hà Nội
BP-11230,Lê Văn Tần,Consumer,1/11/80,909123501,Bình Dương
AA-10375,Lâm Chí Nhân,Consumer,1/11/83,909123502,Hồ Chí Minh
DB-13555,Trọng Văn Tú Thành,Corporate,1/11/87,909123503,Hồ Chí Minh
AH-10030,Trương Thanh Vân,Corporate,1/11/80,909123504,Hồ Chí Minh
TS-21160,Trần Thị Nhung Ca,Corporate,1/11/82,909123506,Hà Tỉnh
LB-16795,Laurel Beltran,Home Office,1/11/81,909123507,Cần Thơ
DA-13450,Ngô Ngọc Nhiều ,Home Office,1/11/87,909123512,Hà Tỉnh
LC-16885,Lena Nguyen,Consumer,1/11/84,909123514,Hồ Chí Minh
BT-11305,Nguyễn Thị Thủy,Home Office,1/11/86,909123515,Vĩnh Phúc
AG-10300,Trần Văn Chinh,Corporate,1/11/89,909123518,Hồ Chí Minh
MH-17290,Phạm Công Trường,Home Office,1/11/96,909123520,Hồ Chí Minh
MY-18295,Trần Thị Tuyền,Corporate,1/11/82,909123522,Hồ Chí Minh
GB-14530,George Bell,Corporate,1/11/81,909123526,Hồ Chí Minh
AI-10855,Lê Thị Lựu,Consumer,1/11/79,909123529,Hồ Chí Minh
DS-13180,Tiêu Tường,Corporate,1/11/96,909123530,Hải Phòng
LL-16840,Trần Thị Duyên,Consumer,1/15/73,909123531,Bà Rịa - Vũng Tàu
HG-14845,Harry Greene,Consumer,1/11/96,909123532,Hồ Chí Minh
LA-16780,Lý Bích Vân,Corporate,1/11/87,909123534,Hồ Chí Minh
KH-16360,Trần Đức,Consumer,1/11/87,909123536,Hà Nội
JM-16195,Justin MacKendrick,Consumer,1/11/80,909123538,Hà Nội
AR-10510,Phạm Ngư,Consumer,1/11/83,909123540,Hà Tỉnh
CS-11860,Cari Schnelling,Consumer,1/11/79,909123541,Hồ Chí Minh
JS-15940,Cát Ngưng ,Home Office,1/11/82,909123542,Hồ Chí Minh
NC-18415,Nathan Cano,Consumer,1/11/81,909123543,Hồ Chí Minh
PM-18940,Paul MacIntyre,Consumer,1/11/81,909123545,Bà Rịa - Vũng Tàu
AA-10480,Đặng Anh Tài,Consumer,1/11/80,909123546,Hà Tỉnh
BS-11365,Nguyễn Tiên,Corporate,1/11/89,909123549,Hồ Chí Minh
PF-19120,Peter Fuller,Consumer,1/11/87,909123551,Vĩnh Phúc
EB-13870,Lê Thái,Consumer,1/11/82,909123554,Hồ Chí Minh
GD-14590,Phạm Ngư Nhân,Corporate,1/11/79,909123556,Hồ Chí Minh
HP-14815,Phạm Lê Anh,Home Office,1/11/80,909123558,Tây Ninh 
SN-20710,Steve Nguyen,Home Office,1/11/89,909123559,Đà Nẵng
CT-11995,Carol Triggs,Consumer,1/11/89,909123561,Hải Phòng
PG-18820,Patrick Gardner,Consumer,1/11/87,909123566,Hà Giang
SB-20290,Trần Văn Duy,Corporate,1/11/89,909123568,Nghệ An
AF-10885,Phạm Khanh Hoàng,Consumer,1/11/83,909123574,Hồ Chí Minh
GM-1590,Greg Matthias,Consumer,1/11/83,909123576,HN
PG-18895,Nguyễn Văn Thoại,Consumer,1/11/82,909123580,Đồng Tháp
RM-19375,Trần Vỹ Hưng,Consumer,1/11/79,909123583,Bình Dương
BG-11695,Lê Kim Yến,Corporate,1/11/80,909123584,Đồng Nai
VW-21775,Tiêu Thị Thão,Corporate,1/11/82,909123585,Hà Giang
HD-14785,Ngô Thị Họa,Home Office,1/11/89,909123586,Hà Giang
AG-10270,BHS Company,Consumer,1/11/89,909123590,Thanh Hóa
EH-14005,Erica Hernandez,Home Office,1/11/79,909123591,Cần Thơ
NP-18325,Naresj Patel,Consumer,1/11/83,909123593,Cần Thơ
AJ-10795,Phạm Hùng Lương,Corporate,1/11/82,909123596,Thanh Hóa
PW-19030,Trần Thị Nghĩa,Corporate,1/11/86,909123597,Hà Tỉnh
CC-12475,Cindy Pham,Consumer,1/11/79,909123598,Vĩnh Phúc
PA-19060,Bùi Thắng Hoa,Home Office,1/11/82,909123599,Thanh Hóa
BS-11755,Văn Thi,Consumer,1/11/89,909123600,Bình Phước
TT-21070,Lê Bá Khánh,Consumer,1/11/74,909123601,Tiền Giang
GA-14515,Nguyễn Đức Minh,Consumer,1/11/84,909123603,Quang Ninh
JH-15820,John Pham,Consumer,1/11/79,909123604,Hà Giang
TD-20995,Lâm Văn Bên,Consumer,1/11/81,909123605,Hà Tỉnh
RF-19345,Randy Ferguson,Corporate,1/11/82,909123606,Bình Dương
MC-17590,Nguyễn Thị Thu Hường,Corporate,1/11/79,909123609,Hà Tỉnh
MW-18235,Mitch Willingham,Corporate,1/11/89,909123613,Hồ Chí Minh
BT-11530,Trần Lựu,Home Office,1/11/86,909123615,Hồ Chí Minh
FG-14260,Trà Ngọc Hằng,Home Office,1/11/89,909123617,Thừa Thiên Huế
